"",10001
"Los Arrayanes de Suba",10813
"Riobamba II",10814
"El Jordán I",10815
"Tara II",10816
"La Poderosa y El Porvenir (Lote)",10817
"Lombardia",10818
"Las Vegas",10819
"Sabanas del Dorado II",10820
"El Cucharo",10821
"Muzu",10822
"Los Libertadores",10823
"El Bosque de los Molinos",10824
"Antonio Morales II",10825
"La Granja Norte",10826
"San José de las Pistas",10827
"Ferrocaja",10828
"Nueva Esperanza",10829
"El Progreso",10830
"Primavera Occidental",10831
"Republica del Canadá El Pinar",10832
"Los Libertadores Sector La Colina",10833
"Urb. Acapulco",10834
"Urb. Rodesia",10835
"Montevideo_",10836
"Pantanito",10837
"Velódromo",10838
"Urb. Caja Social de Ahorros San Cristóbal",10839
"S.C. Velódromo",10840
"Urb. Central - Jorge Gaitan Cortes",10841
"Centro Fontibón",10842
"Boston",10843
"Bosque Calderón Tejada II Sector",10844
"La Alameda",10845
"Las Aguas",10846
"Veracruz__",10847
"San_Bernardo",10848
"Atanasio Girardot",10849
"Balcones de Suba",10850
"S.C. San Ignacio",10851
"La_Concordia",10852
"Villa Sandra",10853
"Bellavista Sector Lucero",10854
"Tunjuelito",10855
"Urb. El Moral",10856
"Urb. Santa Rosa - Rincón de Venecia",10857
"Bosques de Granada",10858
"Príncipe de Bochica",10859
"Santa Helena_",10860
"El Jazmín II Sector",10861
"El Pantano - Junca y Montecitos",10862
"Ciudadela Industrial El Dorado",10863
"Niza Norte",10864
"San Jerónimo",10865
"Las Palmeras_",10866
"Río de Janeiro El Pesebre",10867
"S.C. La Picota Oriental",10868
"Normandia Multifamiliar Covimac",10869
"Vereda Tibabuyes - Fontanar del Río",10870
"Palma Aldea La Juanita",10871
"Canódromo",10872
"Prado Sur",10873
"Ciudad Hunza",10874
"Karimagua Conejera",10875
"Roselandia (Finca)",10876
"Valparaíso",10877
"El Vergel",10878
"Santa Inés Sur",10879
"El Refugio Sur",10880
"El Triunfo",10881
"Páramo I",10882
"Arauquita II Sector",10883
"Villa Sonia I",10884
"Brasil I Sector Villa Diana",10885
"Villas del Rincón",10886
"Britalia Sector La Moneda",10887
"El Encenillal",10888
"Española III Sector",10889
"La Castaña",10890
"Santa Rosita La Cañada",10891
"La Cabaña",10892
"El Otoño",10893
"Brasil López Piñeros",10894
"La Cabaña II Sector",10895
"Umbría",10896
"S.C. El Corzo",10897
"Gran Granada II Etapa",10898
"La Estanzuela II Sector",10899
"Betania",10900
"San Judas La Estación",10901
"Carlos Alban Holguín Nueva Granada",10902
"Piamonte I Etapa",10903
"El Porvenir San Bernardo",10904
"Villas del_Progreso",10905
"Escocia IV Sectores I-II-III",10906
"Brasil II 2a. Etapa",10907
"La_Paz",10908
"Altamira Bosa Linda",10909
"San Roque (Predio)",10910
"El Zarzal",10911
"El Triángulo_",10912
"Urb. Portal de los Pinos",10913
"Los Tulipanes",10914
"Tuna Alta Sector El Bosque",10915
"Villa_Cristina",10916
"Santa Rosa - Potosí I y II",10917
"Santa Beatriz (Predio)",10918
"S.C. Vereda Suba Cerros",10919
"Java II Sector 2",10920
"Torreladera",10921
"Urb. Los Nogales de Tibabuyes",10922
"S.C. Tibabuyes",10923
"Recodo del Country",10924
"Las Areneras",10925
"El_Vergel",10926
"Bella Suiza",10927
"Urb. Santacoloma",10928
"Santa Bárbara Norte",10929
"Santa Bárbara Central II",10930
"Santa Teresa",10931
"Urb. Mendiguaca",10932
"Urb. El Cebadero",10933
"Rafael Uribe",10934
"Ciudadela Colsubsidio 4 Sector",10935
"Carlos Lleras Restrepo",10936
"San Antonio_Norte",10937
"Altos del Sol",10938
"La Colmena",10939
"S.C. Calvo Sur",10940
"Buenos Aires III Sector",10941
"El Laurel",10942
"Brisas Aldea",10943
"Rionegro",10944
"La Arboleda_",10945
"El Pino - Valverde de la Vera",10946
"S.C Tibaque",10947
"S.C. El Pino",10948
"Villa Gladys - Urb. Industrial La Agustina",10949
"Estradita Ciudad de Honda",10950
"El Refugio",10951
"Monteredondo Salitre Suba",10952
"S.C. Boyacá",10953
"Ingemar - Urb. Nuevo Asís",10954
"Tuna Baja III Sector - Santa Isabel",10955
"Selva Dorada",10956
"Santa Teresita",10957
"Villa Hilda (En Tramite)",10958
"Puerta del Sol Engativa",10959
"Centro Engativa II - Lituania",10960
"Santa Rita Sur Oriental II Etapa",10961
"Vista Hermosa - El Bagazal",10962
"Bosques de Karon",10963
"Sierras del Chico",10964
"S.C. Parcela El Porvenir",10965
"Urb. Solar I",10966
"San Pedro",10967
"Danubio",10968
"La Veguita",10969
"San José II_Sector",10970
"Urb. Llano Oriental",10971
"La Primavera_",10972
"El Portal del Sol",10973
"La Alborada",10974
"Urb. La Floresta IV Sector",10975
"Iberia - Granada",10976
"Andes Norte - Las Palmas de la Flora",10977
"Teusaca",10978
"Urb. Piedemonte",10979
"Andes Norte - Urb. La Rabida",10980
"San Antonio Norte II Sector",10981
"Niza Suba - Quimbaya San Carlos",10982
"Urb. Tropicana",10983
"Arizona II",10984
"San Luís",10985
"S.C. Sabana del Dorado",10986
"San Bernardo",10987
"El Retazo",10988
"La Isabela",10989
"Sabana de Tibabuyes",10990
"S.C Tuna Baja",10991
"Lombardia IV",10992
"Provenza",10993
"S.C. Parque Nacional_Oriental",10994
"Agrupación  Multifamiliar El Rosario",10995
"Ingemar - Arbos II",10996
"Berlín",10997
"Villaluz",10998
"Onasis II - Sinai",10999
"La Guaca",11000
"Vereda El Verjo",11001
"Altos de Chozica - Urb. Otraparte",11002
"Julio Cesar Turbay - S.C. San Francisco Rural",11003
"El Rincón de la Victoria Bellavista",11004
"Chircales",11005
"Santa Maria - Recinto de San Francisco",11006
"S.C. Los Arrayanes II",11007
"Sagrado_Corazón",11008
"Urb. El Bosque",11009
"San Agustín II Sector",11010
"Carvajal",11011
"Centenario",11012
"Quinta Reyes",11013
"El Libertador",11014
"El Retiro de Suba",11015
"Atenas I",11016
"S C. Casablanca Suba",11017
"La Esmeralda (Predio)",11018
"Córdoba",11019
"S.C. Santa Teresa de Suba",11020
"Los Álamos - Urb. Torrecampo",11021
"Juan Rey II",11022
"Urb. Corkidi",11023
"Urb. El Juncal",11024
"Britalia - El Pijao de Oro",11025
"El Rincón de los Ángeles",11026
"La Rivera",11027
"Abraham Lincon",11028
"Tunal Sector_I",11029
"Favidi",11030
"El Parque",11031
"Lagos De Timiza II",11032
"Villa Nelly III los Alisos",11033
"Dindalito I Etapa",11034
"Pinar del Río",11035
"Valladolid",11036
"El_Castillo",11037
"El_Pénsil",11038
"Tundama",11039
"El Paraíso_",11040
"Nueva York",11041
"Perpetuo Socorro II",11042
"Puente La Vega",11043
"Urb. Bengala",11044
"Ciudad Kennedy Centro Cívico",11045
"Kennedy Sur Supermanzana 10",11046
"Las Luces",11047
"Las Margaritas",11048
"Urb. Balcón de Suba",11049
"Kennedy Norte Supermanzana 12 A",11050
"Las Amercias Sector Galán",11051
"La Dulcinea",11052
"Barrio El Tintal",11053
"Tierra Buena del Porvenir I",11054
"Tierra Buena del Porvenir II",11055
"Conjunto Residencial Quintas de Tierra Buena",11056
"Urb. Ambalo",11057
"Monte Carlo",11058
"Berlín de Bosa La Libertad III",11059
"S.C. 20 De Julio",11060
"Urb. Bosque de los Alpes",11061
"S.C. Modelia Occidental",11062
"Mallorca",11063
"Cantalejo Sector Alejandría",11064
"Montearroyo",11065
"Escuela de Caballería II",11066
"La Glorieta",11067
"Cerros de Santa Bárbara",11068
"San Justino",11069
"Altos de la Maria",11070
"El Recodo Republica de Canadá",11071
"Cartagena",11072
"Gran Colombia",11073
"El Cerrito",11074
"Mirador Los Molinos II Sector",11075
"Polo Club - Colombiana de Capitalización II Sector",11076
"Polo Club - Brasilia",11077
"El_Salitre",11078
"El Salitre A.S.D.",11079
"Portal de la Uribe",11080
"Nuevo Horizonte",11081
"Buenavista II_Sector",11082
"Terrazas de San Ángel",11083
"Subata",11084
"Los Sauces Norte",11085
"Muequeta",11086
"La Pradera",11087
"S.C. San Luís",11088
"Los Pijaos",11089
"La Florida Alto de Pijaos",11090
"S.C. Britalia",11091
"Urb. Guiparma",11092
"S.C. Molinos del Sur",11093
"La Almeria_",11094
"Jorge Gaitan Cortes",11095
"Urb. Carrera 32 186-07",11096
"Los Almendros",11097
"Altamar II Sector",11098
"Timiza - Agrupación De Vivienda Tonoli",11099
"Class",11100
"Salem",11101
"El Rincón - Urb. San Gabriel",11102
"Onasis II",11103
"El Condado de la Paz - Villa Verónica",11104
"Marsella Aloha Sector Norte",11105
"Andalucía",11106
"Ciudad Techo I",11107
"Marsella",11108
"Campo_Hermoso",11109
"El_Rosario",11110
"El Progreso",11111
"Vegas de Santa Ana - Samaria",11112
"S.C. Cementerio Jardines Apogeo",11113
"Nueva Marsella I Sector",11114
"El Progreso I Sector",11115
"El Rubí II",11116
"Osorio XII",11117
"Talavera",11118
"Alquería de la Fragua Urb. Sinaloa",11119
"Urb. Los Cristales - Urb. La Rebeca",11120
"Las Margaritas Occidental",11121
"Tundama II Etapa",11122
"Ciudad Kennedy Oriental Supermanzana 5",11123
"Santa Marta",11124
"Los Condominios Tierra Buena II",11125
"Casa Nueva",11126
"S.C. El Remanso I",11127
"Brasil Sector Portaly Castillo",11128
"El Porvenir Sector Brasil",11129
"Andalucía II",11130
"Pablo VI",11131
"Villas del Velero",11132
"El Tejar",11133
"El Velero",11134
"New Jersey",11135
"Urb. La Esperanza",11136
"San José A",11137
"San José C",11138
"Santiago de las Atalayas",11139
"Urb. Veracruz",11140
"Parque Residencial Cayambe",11141
"Urb. Las Colinas de Suba",11142
"Campo Hermoso",11143
"El Paraíso de los Apóstoles",11144
"Gratamira",11145
"Atenas - Hibernia",11146
"Los Eucaliptos",11147
"Suba Mirador Reservado",11148
"La Sultana",11149
"San José del Prado - Multifamiliar Neptuno",11150
"San José del Prado - Acarigua",11151
"San José del Prado - Urb. Los Sauces del Norte",11152
"El Bosque Reservado",11153
"Techo",11154
"Mandalay",11155
"Santa Rosa del Carvajal - Torres de las Americas",11156
"Riberas de Occidente Segundo Sector",11157
"Sabanas de Tierra Buena II",11158
"Ciudadela Tierra Buena II",11159
"Lombardia III",11160
"El Minuto de Dios",11161
"San Marino",11162
"S.C. La Maria",11163
"S.C. Vitelma",11164
"Almagrario",11165
"Las Mercedes",11166
"Usatama",11167
"La Catedral",11168
"Bosques de San José",11169
"Britalia - Las Mercedes",11170
"S.C. Tintala - Ciudadela Nueva Castilla",11171
"Vereda Suba Cerros - Mirador del Espino",11172
"Normandia IV Sector",11173
"Los Azafranes",11174
"Porvenir III",11175
"El_Progreso II_Sector",11176
"Villa Magda",11177
"Ciudad Jardín Norte",11178
"Urb. Compostela",11179
"Bilbao I Sector",11180
"Zahori",11181
"Los Pinos Florencia",11182
"La Fragua",11183
"Niza Suba - Bosques de Álava",11184
"San Norte",11185
"Tisquesusa",11186
"S.C El Dorado",11187
"Granada Sur",11188
"Manila",11189
"La Arboleda",11190
"San Cayetano",11191
"San_Pedro",11192
"Piedra Herrada",11193
"Villa Gladys - La Esperanza",11194
"Bosque Calderón Tejada III Sector",11195
"Rubén Vallejo",11196
"S.C. Charco",11197
"Salitre",11198
"San Basilio",11199
"Bochica Compartir",11200
"Corpacero",11201
"Prado Centro",11202
"Moralva",11203
"Urb. El Paseito I y III Sector",11204
"Palermo Sur Oswaldo Gómez",11205
"La Victoria",11206
"Urb. El Chital II Sector",11207
"Hilanderas Fontibón",11208
"Nueva Villemar",11209
"Guadual Fontibón",11210
"Ciudadela Real",11211
"Polo Club - Urb. El Lago",11212
"La_Carolina",11213
"Santa Sofía Sur",11214
"S.C. Las Mercedes",11215
"El Ferrol",11216
"San Isidro Norte",11217
"El Verbenal - Ayamonti",11218
"Tibabita II",11219
"La Franja de Buenavista",11220
"Horizontes Usaquén",11221
"Tibabita I",11222
"Los_Olivos",11223
"S.C. Gran Britalia",11224
"S.C. El Danubio Azul",11225
"Armenia",11226
"El Recodo y Petaluna",11227
"San Jorge Gloria Gaitan",11228
"El Mirador Sur I y II",11229
"S.C. Marruecos",11230
"Azucena",11231
"S.C Osorio Diez",11232
"S.C Jiménez de Quesada",11233
"Villa de Suaita",11234
"La Paz San Ignacio Las Vegas",11235
"La Palma",11236
"Bosa Nova",11237
"Casablanca Sector El Plan",11238
"Villa de las Flores",11239
"Luís Carlos Galán",11240
"Urb. El Portal de la Fontana",11241
"Santa Rosa",11242
"El Dorado Industrial - La Esperanza (Predio)",11243
"Los Faroles de Santa Inés",11244
"El Cedro",11245
"Altos de Chozica - La Judea",11246
"Palermo Sur San Marcos",11247
"Lisboa_",11248
"Alameda del Sur",11249
"El Doradito",11250
"Portal de los Hayuelos",11251
"Balcones y Portales del Country",11252
"Usaquén - Casa Cristo Rey",11253
"S.C Las Mercedes",11254
"S.C. Ortezal",11255
"El Dorado",11256
"Villa Gladys_",11257
"La Providencia",11258
"El Consuelo S.C. Arboleda Sur",11259
"La Esperanza Alta",11260
"La Merced Sur",11261
"Avenida Caracas II",11262
"El Mirador",11263
"Huertos de la Estancia",11264
"Pablo VI Norte",11265
"Parque Simón Bolívar",11266
"Centro Industrial",11267
"El Verbenal I",11268
"Santa Felisa",11269
"California",11270
"San Miguel_",11271
"Valladolid - A.S.D.",11272
"Acevedo Tejada",11273
"Resurrección",11274
"El_Consuelo",11275
"S.C. San Diego Bosa",11276
"El Rincón de las Villas",11277
"Santa Bárbara Central I Sector",11278
"Corinto",11279
"La Estación",11280
"La Azucena",11281
"La Vega_",11282
"La Unión",11283
"S.C. Osorio XXIII",11284
"Claretiano",11285
"Santander",11286
"S.C. San Bernardino XVII",11287
"Barcelona",11288
"Miraflores",11289
"Juan XXIII",11290
"La Castellana",11291
"El Poblado",11292
"Los Alcaparros",11293
"Urb. Las Pléyades",11294
"Almeria de San Luís",11295
"Atenas El Velero",11296
"La Serranía Sector Cultivos",11297
"S.C Ferrocaja",11298
"Urb. Cofradía",11299
"Urb. Jardines del Norte",11300
"Jardines de Oriente",11301
"Andalucía_",11302
"S.C. Quiroga Sur",11303
"S.C. Olaya",11304
"Oasis de San Jorge",11305
"Parques del Campo",11306
"Los Alcaparros de Suba",11307
"Urb. El Bosque de Suba",11308
"Guadalcazar de Sotileza",11309
"Los Libertadores Sector San Luís",11310
"San Martín de Loba",11311
"S.C. Hoya San Cristóbal",11312
"Chico Norte - Urb. La Gran Vía",11313
"Urb. Montevideo Mz 13B",11314
"San Juan",11315
"Torres del Country",11316
"Usaquén",11317
"El_Triunfo_",11318
"Centro Norte Usaquén",11319
"Parcelación Tibabita",11320
"San_Juanito",11321
"Gran América - El Parque",11322
"El_Triángulo",11323
"Media Luna",11324
"Pablo VI - Urb. Montana Quirinal III Etapa",11325
"Villa Begonia",11326
"El Balcón",11327
"Ramírez",11328
"S.C. Gilmar",11329
"Govaroba",11330
"La_Aurora",11331
"Ciudad Salitre Nororiental",11332
"El Refugio de San Antonio",11333
"Rincón del Karmel",11334
"Tibabita I Sector",11335
"Tibabita",11336
"El Verbenal III Sector",11337
"El Verbenal - Urb. Alquería 183",11338
"Ismena II",11339
"Canapro",11340
"La Perla Oriental",11341
"El Rosario",11342
"S.C. José Joaquín Vargas",11343
"Britalia - Las Margaritas",11344
"La Trinidad",11345
"Santa Bárbara_",11346
"S C. Parque Nacional Oriental",11347
"Carmen del Sol",11348
"S.C. Marco Fidel Suárez",11349
"Urb. Madrid",11350
"Hacienda Los Molinos",11351
"Villa del Carmen",11352
"Veracruz",11353
"Palmitas - La Vega I",11354
"Villa Alsacia Ciudadela",11355
"Bavaria I Sector",11356
"Villa Alsacia",11357
"Horizonte Occidente",11358
"Argelia",11359
"Britalia San Diego",11360
"Nueva Timiza",11361
"Villa Timiza",11362
"El Comité",11363
"Jorge Uribe Botero - Villa Andrea",11364
"Lagos De Timiza I",11365
"El Palenque",11366
"Pastranita I Sector",11367
"Villa Sagrario",11368
"Visión de Colombia",11369
"El Almenar",11370
"Alfonso López Michelsen",11371
"El Tintal La Pampa II",11372
"Villa Galante",11373
"Glorieta de las Americas",11374
"Santa Rosa del Carvajal",11375
"Santa Catalina Sector II",11376
"Villa Castilla - El Triángulo",11377
"Santa Mónica_",11378
"Ciudad Hunza - La Esperanza I",11379
"S.C. Osorio II - San Ignacio Vereda El Tintal",11380
"Patio Bonito I Sector",11381
"Ciudad Galán",11382
"Casablanca II",11383
"Fe y Alegría",11384
"Las Torres",11385
"El Progreso II",11386
"Casablanca - Urb. Manuel Mejia",11387
"Casablanca I",11388
"Guicani",11389
"Milenta II Sector",11390
"El Triángulo",11391
"Centro Americas",11392
"El Triunfo de las Americas",11393
"Hipotecho Occidental II",11394
"Ciudad Kennedy Supermanzana 11",11395
"La Flor Ciudad Hunza",11396
"Los Condominios deTierra Buena I",11397
"El Llano Sector Guzmán",11398
"Santa_Inés",11399
"Las Margaritas III",11400
"S C. San Bernardino Potreritos",11401
"Hermanos Barragán",11402
"El Corzo",11403
"La Esperanza I y II",11404
"Villa_Carolina",11405
"San José B",11406
"El Arenal",11407
"Las Villas de Mariana",11408
"S.C Vereda Suba Naranjos",11409
"Vista Hermosa",11410
"La Victoria Norte",11411
"Lagos de Córdoba",11412
"San Carlos (Predio)",11413
"Villa Salónica",11414
"Villa Catalina",11415
"Villa_Alexandra",11416
"El Portal de las Mercedes",11417
"San Francisco (Predio)",11418
"Palma Aldea",11419
"La Igualdad",11420
"Ciudad Kennedy Supermanzana 13 San Jorge",11421
"Kennedy Supermanzana 15",11422
"Marsella Sector Norte Segunda Etapa",11423
"Urb. Hacienda los Molinos",11424
"Los Alpes (Agrupación de Vivienda)",11425
"Kasay Etapa 1 y 2",11426
"S.C. Escocia Rural",11427
"Laureles III",11428
"Cantalejo Portal de San Diego",11429
"Santa Fe",11430
"El_Dorado",11431
"Valle Verce",11432
"S.C Siberia",11433
"Torres del Diamante",11434
"Los Arreboles",11435
"Urb. del Monte",11436
"El Pinar (Predio)",11437
"La Salina",11438
"Nuevo Corinto",11439
"Macarena de los Alpes",11440
"La Selva",11441
"Los Alpes II Sector",11442
"Los Cerecitos y Los Cerezos",11443
"S.C. Primavera",11444
"Santa_Mónica_",11445
"Ciudad de Londres",11446
"San Manuel",11447
"S.C. Prado Veraniego Sur",11448
"Los Puentes",11449
"Vitelma",11450
"S.C. Santa Rosa",11451
"La Portadita",11452
"Altamira Chiquita",11453
"Rincón de San Ignacio",11454
"S.C. La Gloria Oriental",11455
"La Palma el Cóndor",11456
"El Porvenir Parcela 23",11457
"San José del Prado - Urb. La Manuelita",11458
"La Calleja Santacoloma",11459
"Pinar de la Calleja",11460
"Granjas y Huertas El Ramajal",11461
"Verbenal II Sector",11462
"Acegrasas",11463
"Urb. Padua",11464
"Granada Sur III Sector",11465
"El_Mirador",11466
"Govarova II",11467
"Los Molinos Parcelación 80 y 81",11468
"Gilmar",11469
"Santa_Sofía",11470
"Medellín",11471
"Santa_Maria",11472
"Los Cipreses",11473
"Villa Constanza",11474
"La Estrellita",11475
"Barrancas",11476
"Don Bosco",11477
"Milán Barrancas",11478
"Quinta Mutis",11479
"Santa Margarita",11480
"Las Pastorcitas",11481
"Compartir Suba",11482
"Popular Modelo - Urb. Ciudadela de los Parques",11483
"Urb. Los Sauces",11484
"El_Laurel",11485
"Urb. La Floresta V Sector",11486
"Urb. Lagos de Córdoba",11487
"Conejera Las Mercedes Suba",11488
"Rincón del Cedro",11489
"Magdala I Etapa",11490
"La Esperanza Britalia",11491
"Santa Bárbara Central IV Sector",11492
"S.C. Casablanca Suba",11493
"El Rincón Santa Helena",11494
"Urb. Ana Maria",11495
"S.C. San Bernardino XXII",11496
"Bosa las Terrazas",11497
"Batallón Caldas",11498
"Villa Beatriz",11499
"Puerta de_Teja",11500
"La Giralda",11501
"Acacias Usaquén",11502
"Tapas La Libertad",11503
"Las Margaritas I Sector",11504
"Ginebra Norte",11505
"Bahía Solano",11506
"La Giralda II Sector",11507
"S.C. Villa Alsacia",11508
"Villemar",11509
"Visión Semindustrial",11510
"Plenitud La Calleja",11511
"Guacamayas III Sector",11512
"Francisco Vega",11513
"Marco Fidel Suárez II Sector",11514
"Laguneta",11515
"Urb. Montebello",11516
"Pardo Rubio",11517
"Rincón de los Molinos",11518
"Callejón de Santa Bárbara II",11519
"Colombia",11520
"San Rafael",11521
"Barcelona - Urb. Los Eucaliptos",11522
"Jorge Eliécer Gaitan",11523
"Los Alcázares",11524
"Polo Club - Colombiana de Capitalización I Sector",11525
"Villa Andrea",11526
"Tibabita El Reposo",11527
"La Llanurita II",11528
"La Llanurita",11529
"La Frontera",11530
"Santa Paz - Santa Elvira",11531
"Casa Blanca Norte",11532
"Teusaquillo",11533
"El_Recuerdo",11534
"Galán - Urb. Los Arrayanes",11535
"San Marcos",11536
"Predio Caldas",11537
"Islandia",11538
"La Ilusión",11539
"S.C. Puerto Rico",11540
"El Pite",11541
"La Cita 2",11542
"El Toberín Mz 28",11543
"Las Orquídeas",11544
"El Triángulo Sector Materas",11545
"Recreo Reservado",11546
"Niza Suba - Torres del Camino",11547
"El Cerezo y San Pedro",11548
"Jerez de la Frontera",11549
"S.C. Bosques de San Jorge",11550
"Chambacu Conejera",11551
"El Escorial",11552
"Urb. El Moral II",11553
"Urb. Plaza Vallarta",11554
"Oikos Teucali San Antonio",11555
"La Chucua - La Trinitaria",11556
"Costa Azul II Etapa",11557
"Avenida Décima",11558
"Ciudad Mónaco",11559
"Urb. La Manuelita",11560
"Urb. La Palma I",11561
"Urb. Oikos Panorama",11562
"El Vergel_",11563
"La Esperanza",11564
"Mirandela (La Cartaja)",11565
"Prado Veraniego",11566
"Alameda",11567
"Pirámide",11568
"La Cecilia",11569
"Rocío Centro Oriental",11570
"Urb. Ayacucho Sur",11571
"Las Guacamayas",11572
"Normandia",11573
"Parcelación Guaymaral",11574
"S.C. Las Mercedes Suba",11575
"Triángulo Alto",11576
"La Esperanza Nororiental",11577
"Santa fe (Predio)",11578
"S C La Paz Bosa",11579
"La Riviera_",11580
"Recreo de San Ignacio",11581
"El Jordán La Esperanza",11582
"S.C. Vereda Suba Cerros II",11583
"Fontanar del Río",11584
"El Pañuelito",11585
"Viña del Mar",11586
"Divino_Niño",11587
"Nuestra Señora de la Paz San Benito",11588
"Brasil López y Piñeros",11589
"Nuestra Señora de la Paz IV Sector",11590
"Nariño Sur",11591
"S.C. Cataluña",11592
"Ciudad Berna",11593
"La Cabaña II_Sector",11594
"Prados de la Campiña",11595
"Buenavista",11596
"San Cristóbal Norte 2",11597
"Toberín",11598
"El Codito",11599
"Urb. Quintas de la Sabana",11600
"Vitelma Ciudadela Parque de la Roca",11601
"Casapanda",11602
"Jericó",11603
"La Castellana - Villa Calazans",11604
"San Rafael Sur Oriental",11605
"Villa Gladys - Urb. Parque Industrial Bonaire",11606
"Sabana del Dorado - San Luís (En Tramite)",11607
"Metrópolis_",11608
"S.C. El Paraíso",11609
"Dorado_Norte",11610
"La Isla",11611
"La Reliquia",11612
"Bello Horizonte III Sector",11613
"San Isidro_Sur",11614
"Urb. Prados de Altamira",11615
"Panorama (Antes Altamira)",11616
"Quindío",11617
"S.C. Chapinero Central",11618
"Villa_Anita",11619
"Siberia - Nacedero II",11620
"Urb. Av. Circunvalar",11621
"El Palmar I y II",11622
"Villa Catalina III Sector",11623
"Inles - Comfamiliares Aseguradores II",11624
"La Esmeralda",11625
"La Primavera II",11626
"Banco Central",11627
"Bosque de los Comuneros",11628
"Estación Central",11629
"El Muelle I",11630
"Santa Helena_",11631
"Los Libertadores Bosque Diamante Triángulo",11632
"El Paraíso Urb. Antioquia",11633
"Urb. Camino Verde",11634
"La Cabrera",11635
"S.C. Granada",11636
"Iragua",11637
"Torres de San Rafael",11638
"Altos de San Sebastián",11639
"Moravia",11640
"La Moneda Britalia",11641
"San Isidro La Capilla",11642
"La Azucena Sector Triángulo",11643
"José Maria Carbonell I y II",11644
