"",10001
"El Portal de Bosa",12470
"Humberto Valencia II Sector",12471
"Grancolombiano II Laureles",12472
"S.C. San Bernardino XIX",12473
"Laureles La Estación",12474
"Acuarela I",12475
"Villa Esmeralda",12476
"Los Ocales",12477
"Miraflores II Sector",12478
"El_Rubí",12479
"Santa Helena - Surala",12480
"Urb. Júpiter",12481
"Providencia",12482
"Alameda de Santa Monica Etapa 5",12483
"Nuevo Recreo",12484
"Niza Norte - Urb. Tumanaco",12485
"Urb. Bochalema",12486
"Villa Cindy",12487
"La Guaca Sector La Conejera",12488
"Torremolinos I",12489
"Urb. Colina Norte II Etapa",12490
"Bellomonte Suba",12491
"Urb. Caminos de Atlanta",12492
"Vista Bella II Sector",12493
"Santa_Mónica",12494
"Urb. Floresta III (Sauces II)",12495
"Cerros del Himalaya",12496
"La Esperanza (Calle 131 A)",12497
"Tibabuyes I Sector",12498
"Portal de la Sultana",12499
"El Salitre IV Sector",12500
"El Mirador de Suba Salitre Norte",12501
"Canódromo - Urb. Atabanza",12502
"Prado Veraniego Sur - Córdoba Niza IX",12503
"Miraval",12504
"Niza Suba - Urb. Lourdes",12505
"Urb. Bosque de la Colina",12506
"Prado Sur II Etapa",12507
"San José del Prado - Agrupación de Vivienda Calua",12508
"Páramo - Escuela de Caballería",12509
"Urb. El Campito",12510
"S.C. Horizontes Norte",12511
"El Recuerdo La Conejera",12512
"Pensilvania",12513
"Torres del Rubí",12514
"La Nueva Gloria",12515
"El Nogal I",12516
"Casablanca Suba  - Valparaíso",12517
"El Embudo Sector El Plan",12518
"Urb. Iberia Triángulo",12519
"S.C. San Carlos de Suba",12520
"S.C Salitre Suba",12521
"S.C. Gilmar - La Sirena (Predio)",12522
"Burgos Britalia",12523
"Alsacia",12524
"El Rosario III",12525
"Las Aguas_",12526
"Villa Albania",12527
"La Capuchina",12528
"Urb. La Lorena",12529
"Barcelona Sur Oriental",12530
"La Gloria",12531
"Gran América - Multifamiliares Futura",12532
"S.C Belén Fontibón",12533
"S.C. Aeropuerto El Dorado",12534
"S.C. Suba Urbano",12535
"Urb. Altos de Zarzamora",12536
"S.C Altos de Chozica",12537
"S.C Buenos Aires",12538
"S C. El Dorado",12539
"S.C. Aguas Claras",12540
"El Verdun",12541
"Puerta del Sol",12542
"Quirigua (Agrupación 1)",12543
"Las Mercedes_",12544
"El_Triángulo_",12545
"Casa Grande 2",12546
"Villa Gladys Sector San Luís",12547
"Villa Oliva - Villa del Carmen",12548
"Quintas del Recreo Etapa 6",12549
"Prados de Santa Bárbara",12550
"S.C. La Victoria",12551
"Jaime Bermeo",12552
"Manuela Beltrán",12553
"Las_Flores",12554
"Atahualpa",12555
"Los Álamos",12556
"S.C. El Charco (Rural)",12557
"San Pablo Jericó",12558
"Bochica IV Etapa",12559
"Los Arrayanes Santa Inés",12560
"El Ramajal",12561
"Buenavista II Sector",12562
"Amapolas",12563
"Palermo Sur El Triángulo",12564
"La Marqueza",12565
"Siete de Agosto",12566
"Los Álamos - El Carmelo",12567
"La Pepita",12568
"La Estanzuela_",12569
"Urb. Los Bohíos de Funza",12570
"Santa Matilde",12571
"La Belleza",12572
"El Recuerdo San Jorge Alto",12573
"Cedro Narváez",12574
"Resurrección 2",12575
"El Cerro Occidental",12576
"Caja de Vivienda Popular",12577
"La Tortigua (Mz I,J)",12578
"Rincón de Santa Paula",12579
"Urb. Betania",12580
"Urb. La Palestina",12581
"Palestina",12582
"Ciudad Salitre 3 A. Etapa",12583
"Urb. Industrial Montevideo",12584
"S.C Interindustrial",12585
"Urb. Parque Metropolitano Etapa II y III",12586
"Urb. Calima",12587
"Samper Mendoza",12588
"Montecarlo_",12589
"Las Nieves",12590
"Urb. El Recio",12591
"Unidad Residencial Gonzalo Jiménez De Quesada",12592
"Los Andes - Urb. Malta",12593
"La Castellana - José Maria Carbonel",12594
"San Blass",12595
"El Santuario",12596
"Montecarlo",12597
"San Cristóbal Alto",12598
"El Arrayán 2",12599
"San Joaquín Norte",12600
"Quirigua Plan Sidauto",12601
"San Carlos",12602
"Abraham Lincoln",12603
"S.C Meissen",12604
"Los_Ángeles",12605
"Camilo Torres",12606
"Iberia Segovia",12607
"Los Molinos I Sector",12608
"Marruecos",12609
"El Sol",12610
"Los Naranjos",12611
"Toberín Oriental",12612
"Balcones de Oriente",12613
"Villa Magdala",12614
"Camelia Sur IV Sector",12615
"S.C. El Pantano Rural",12616
"El Refugio de la Colina I",12617
"S.C. Quiroga",12618
"Rodamonte",12619
"Urb. Fucha",12620
"Alameda de Villaluz",12621
"El Encanto - Urb. Aerolandia",12622
"S.C Vereda Suba Cerros",12623
"Urb. Puerto Sol",12624
"Suba Linda",12625
"Urb. Potrerillos de Suba",12626
"El Carmen",12627
"Tuna Alta",12628
"S.C Suba Urbano",12629
"Sierras del Moral",12630
"Los Pinos",12631
"Los Álamos - Centro Empresarial",12632
"Lagos de Castilla",12633
"Luís Alberto Vega Bosque Calderón II",12634
"S.C. Parque Nacional Oriental",12635
"Casa Loma",12636
"Barrancas Oriental - La Roca (Predio)",12637
"Los Laureles Sur Oriental I Sector",12638
"Kennedy Supermanzana 6 B",12639
"Urb. Barlovento",12640
"Carintia",12641
"Urb. Lombardia III Etapa - Sector A",12642
"Desarrollo Villa Blanca",12643
"San Antonio - Urb. Av. Luna Park",12644
"Santa Isabel V Sector",12645
"Centro Nariño",12646
"Timiza -  Urb. Cañaveral",12647
"Urb. La Coruña del Sur",12648
"Guillermo Núñez",12649
"San Fernando Nuestra Señora de la Paz",12650
"Urb. El Alcázar de Suba",12651
"Urb. Carrera 10a",12652
"S.C. Las_Margaritas",12653
"El Regalo",12654
"El Recuerdo II",12655
"El Recuerdo_",12656
"Santa Rosalía 2 (Finca)",12657
"El Libertador II",12658
"Chico Sur_",12659
"El_Llanito",12660
"Niza Norte - Sotileza",12661
"Urb. José Maria Carbonell",12662
"El Recuerdo",12663
"S.C. Andalucía II",12664
"La Estación Areneras",12665
"La Concepción",12666
"La Libertad III Sector",12667
"S.C. San Antonio",12668
"Hortelanos de Escocia",12669
"Villa Alegría",12670
"Villa de los Comuneros",12671
"S.C Bosa",12672
"Andes Norte - Quintanilla de la Flora",12673
"Brasil Sector El Lago",12674
"Brasil sector Barreto",12675
"Villa Nubia",12676
"Urb. La Chucua",12677
"Niza Suba - Urb. Palo Alto",12678
"Rincón de Santa Inés",12679
"Prados del Salitre",12680
"Calabria",12681
"Urb. Cerros 170",12682
"Urb. San José",12683
"Los Portales del Norte III",12684
"El Estoril",12685
"Britalia - Llano de San José II",12686
"Quintas Reservadas",12687
"Urb. El Paseo de la Colina",12688
"Caobos Salazar",12689
"Urb._El Bosque",12690
"Jardín Norte",12691
"La Granja Oriental",12692
"Barrancas Alto",12693
"Urb. Parque Afir",12694
"El Gaco - El Porvenir (Predio)",12695
"La Riviera II",12696
"Canadá la Guira II Sector",12697
"Turingia III",12698
"Tuna Baja II Sector",12699
"San Cayetano__",12700
"Villa Aurora",12701
"S.C. La Estradita",12702
"Las Ferias Occidental",12703
"Fátima",12704
"Portal de Granada",12705
"S.C. Chapinero Norte",12706
"Siberia - Castillo Calderón Tejada",12707
"Pardo Rubio - Rakel (Predio)",12708
"Bellavista - Urb. El Castillo",12709
"Emaus",12710
"Urb. El Palmar",12711
"Bosque Izquierdo",12712
"S.C Ingemar",12713
"S.C. Siberia Central",12714
"Urb. Unidas Samoa",12715
"Florencia",12716
"S.C. Tabora",12717
"Prados de la Alameda",12718
"La Soledad",12719
"Ortezal - Quinta Paredes",12720
"Parque Residencial Nueva Suba",12721
"Las Americas",12722
"Villa Ximena",12723
"Tuna Baja Las Flores",12724
"S.C. Murillo Toro",12725
"S.C. Villa Mayor Oriental",12726
"Santa Isabel",12727
"Las Violetas La Asunción",12728
"La Serena",12729
"Paris Francia",12730
"Congreso Eucarístico",12731
"La Faena - Jaboque (Finca)",12732
"El Muelle II",12733
"Cama Vieja 2",12734
"Sabana del Dorado - Villa Nohemi",12735
"Villabel",12736
"La Nueva Gloria II Sector",12737
"S.C. El Pinar",12738
"El Pinar Republica de Canadá II Sector",12739
"Cerros Norte",12740
"S.C. Seminario",12741
"S.C. Las Acacias",12742
"El Minuto de Dios - Los Lagos",12743
"Santa Cecilia",12744
"Conjunto Residencial Kumaru",12745
"Niza Suba - San Silvestre",12746
"La Estrella III",12747
"Cedro Salazar",12748
"La Calleja",12749
"Rincón del Chico",12750
"Soratama",12751
"Andalucía",12752
"Villa Nueva",12753
"Pastrana",12754
"Ciudad Kennedy Oriental Supermanzana 6",12755
"Urbanizacion  El Porvenir Predio Tintalito Mazuera Uno",12756
"S.C. Belén Fontibón",12757
"Urb. Tibabita 188",12758
"Zulima",12759
"Finca Moraga (Barracas)",12760
"Cooperativa de Sub-Oficiales",12761
"Ayacucho I",12762
"Vasconia II",12763
"La Unidad",12764
"Santa Catalina Sector I",12765
"Hato Nuevo",12766
"Roma - Bertha Hernández De Ospina I y III",12767
"Rincón de Castilla",12768
"Llano Grande",12769
"La Concordia",12770
"Maria Paz",12771
"Horizontes (Predio)",12772
"Ciudad Kennedy Supermanza 12",12773
"Santa Catalina",12774
"El Rubí de Kennedy",12775
"S.C. La Magdalena - El Tiber",12776
"Villa_Nelly",12777
"Tintala",12778
"Calandaima - Los Pantanos",12779
"Bellavista_",12780
"Villa Hermosa_",12781
"Palmitas - Villa Alicia",12782
"Ciudad Kennedy Norte Supermanzana 9B",12783
"El Descanso Nuevo Kennedy",12784
"Las Dos Avenidas I Etapa",12785
"Valencia La Chucua",12786
"Milenta_",12787
"Catalina II",12788
"Ciudad Kennedy Supermanzana 3",12789
"Americas Occidental IV Etapa",12790
"Americas Occidental",12791
"Los Condominios Tierra Buena III",12792
"S.C. Nueva Tibabuyes",12793
"Bosque de Gratamira I y II",12794
"S.C. San Bernardino XVI",12795
"La_Esmeralda",12796
"El Bosque de Bosa",12797
"S.C Bosa Brasil",12798
"Argelia_",12799
"Islandia II",12800
"S.C. Jacqueline",12801
"Olarte",12802
"La Granjita",12803
"El Anhelo",12804
"Santa Fe Bosa",12805
"Cartagenita",12806
"Getsemani",12807
"La Vega",12808
"El Paradero",12809
"S.C. San Bernardino XVIII",12810
"Tibabita - Los Pinos (Predio)",12811
"La Paz II Sector",12812
"San Pedro",12813
"La Alhambra Sector Norte",12814
"San Antonio de Escocia II",12815
"Prado Veraniego Norte - La Hacienda",12816
"Grancolombiano I",12817
"Humberto Valencia",12818
"Urb. La Sultana del Sur",12819
"San José D",12820
"Villanova II",12821
"Malibu",12822
"Casablanca Sector La Gruta",12823
"Niza Suba - El Pinar",12824
"Casablanca (Hacienda)",12825
"Turingia (Parcelación)",12826
"El Porvenir Norte - Granada Norte",12827
"Urb. Monterrey",12828
"Urb. Choasuca",12829
"Don Manuel - Los Arrayanes",12830
"Canaima",12831
"Batan Lote Niza XII",12832
"Cerros de Niza",12833
"Prado Pinzon Urb. Tehorlu",12834
"Casablanca Suba Cantabria",12835
"Urb. Somondoco",12836
"Villa Monika",12837
"El Batan",12838
"El Cortijo (Finca)",12839
"Urb. Guasayalta",12840
"Nueva Britalia",12841
"Urb. Némesis",12842
"Iberia - Villa Leticia",12843
"La Estanzuela",12844
"Villa Maria",12845
"El Poa",12846
"Tuna Baja III y III A",12847
"S.C. Tuna Baja",12848
"Niza Suba - Cerros de Sotileza",12849
"Rincón de las Villas",12850
"Prados de la Sultana",12851
"Torquigua",12852
"S.C. Las Brisas",12853
"Turingia",12854
"Tuna Alta Sector Bellavista",12855
"Tuna Alta - Quinua",12856
"Salamanca y Catalayud",12857
"San Fernandito (Predio)",12858
"Buganviles",12859
"La Arcana (Predio)",12860
"Recreo Reservado 1",12861
"La Paz Central",12862
"Villa Claudia III",12863
"Callejón de Santa Bárbara III Etapa",12864
"Urb. Nueva Granada",12865
"Santo Domingo",12866
"La Perla Occidental",12867
"Los_Andes",12868
"Urb. Manuel Cristóbal el Portal",12869
"San Cayetano_",12870
"Tunal Sector_II",12871
"Industrial Centenario",12872
"Salazar Gómez",12873
"Nueva Delly",12874
"Rocío Parte Baja",12875
"Santa Rosa De Lima",12876
"Socorro III Sector",12877
"Las Carolinas",12878
"El Socorro III Sector",12879
"San Bernardo del Viento",12880
"San José de Barrancas",12881
"S.C. Interindustrial",12882
"Balkanes",12883
"Santa Anita",12884
"Veracruz_II Sector",12885
"S.C. Ingemar",12886
"Lourdes III",12887
"Santa_Cecilia",12888
"12 de Octubre",12889
"Veracruz",12890
"Los Andes - Urb. Calle Cien",12891
"La Clarita",12892
"Torredon",12893
"Alto de la Toma",12894
"San Eusebio",12895
"Villa Sonia",12896
"San Jorge Central",12897
"Zona Industrial",12898
"Colmotores",12899
"Rincón de Venecia",12900
"Marruecos II Sector",12901
"Estrella del Norte",12902
"La Alejandra Barrancas",12903
"Torremolinos",12904
"Las Palmas Norte",12905
"Urb. Las Flores",12906
"S.C. El Laurel",12907
"Normandia - Urb. Nueva Normandia",12908
"Normandia - Conjunto Multifamiliar Colseguros",12909
"Finca Niquia",12910
"Nueva Tibabuyes - La Esmeralda",12911
"San José del Prado",12912
"Canódromo - Urb. Tierra Linda",12913
"El Cerezo",12914
"Santa Rosalía II El Cartucho",12915
"Los Andes - Urb. Teusaca",12916
"Fabrica de_Loza",12917
"Bellavista Sur Oriental",12918
"Lourdes II_",12919
"Los Laches",12920
"Urb. Sosiego Norte",12921
"El Minuto de Dios - Urb. Lorena",12922
"Los Molinos II Sector",12923
"Villa Mariana (Proyecto Urbanístico)",12924
"Bellavista Sector Santa Cecilia",12925
"Siberia - El Paraíso (Predio) 2",12926
"San Martín de Porres III y IV",12927
"Bombay",12928
"Reservas de la Sierra - La Arboleda",12929
"S.C. Gualoche",12930
"El Matorral",12931
"Torca 1 y 2",12932
"San Simón (Hacienda)",12933
"Barrio Ciudad Hunza",12934
"Vereda Suba Cerros La Cabaña",12935
"Nueva España",12936
"La_Fragua",12937
"Predio Nariño",12938
"Nuestra_Señora de la Paz",12939
"La Cabaña y La Suerte",12940
"Los Otoños",12941
"Ciudad Jardín del Sur",12942
"San Jorge_Central",12943
"Policarpa Salavarrieta",12944
"Cabañas del Norte",12945
"Riviera Norte",12946
"La Libertad II",12947
"La Portada",12948
"Villa Colombia II",12949
"Villa Nora",12950
"Conjunto Residencial Yaiti",12951
"Japón",12952
"Ciudadela La Libertad II",12953
"Bosa Nova II Sector",12954
"El Rodeo Sector Bosa Nova",12955
"S.C. Bosa Brasil",12956
"Brasil Materas Acacias San Jorge",12957
"El Porvenir_Sector Brasil",12958
"Villa Elisa - El Aguinaldo",12959
"Villa Rosario",12960
"La Chucua Norte",12961
"Las Villas Sector II",12962
"Villa Susana",12963
"Urb. Valle Patricia y Valle Refous",12964
"El Paraíso",12965
"Senderos de la Esperanza",12966
"Santa Rita",12967
"Urb. Parque Industrial Villa Concha",12968
"El Pencil Barrio El Salitre",12969
"Urb. Loyola",12970
"Las Delicias La Maria",12971
"Orquídeas",12972
"S.C. Pasadena",12973
"Urb. Bosque de los Lagartos",12974
"San Nicolás",12975
"S.C. Tuna",12976
"Taberin",12977
"Torca - Palermo A (Predio)",12978
"Carvajal - Urb. Altamira",12979
"Bocacolina El Cedro",12980
"Escuela de Infantería",12981
"Barrancas Perlas del Norte",12982
"Urb. La Pradera",12983
"Balcones de Vista Hermosa",12984
"La_Capilla",12985
"San Antonio Norte",12986
"Santa Helena Bosque de Casigua",12987
"Paloquemao",12988
"Santa Isabel Veraguas",12989
"Bolivia Oriental II Etapa",12990
"Urb. La Sirena",12991
"Santa Cecilia Norte Parte Alta",12992
"S.C. Chico Norte",12993
"Ciudad Salitre",12994
"El Tintal A.S.D.",12995
"La Libertad San Fernando",12996
"Villa Nueva Urb. (Tafur Morales II Etapa)",12997
"Bosques del Country",12998
"Lourdes 2",12999
"Rincón del Salitre - Urb. Modelo II",13000
"Urb. Villa del Cerro",13001
"Santa Rosita",13002
"Los Álamos Sector Industrial",13003
"La Estrada",13004
"Pinos de Lombardia - Imperial (Finca)",13005
"Ciudad Hunza - El Jordán",13006
"S.C. El Chico",13007
"El Paseo",13008
"Engativa - Urb. Muisca",13009
"Carolina Oriental",13010
"Carlos Alban Sector Miraflores",13011
"Urb. Belvedere",13012
"S.C. Hoya Teusaca",13013
"El Palmar III",13014
"Villa Teresita Sector Santa Lucia",13015
"Los Olivos",13016
"Vista Hermosa - Maria Cristina",13017
"Tuna Alta - El Cerro",13018
"Ciudad Salitre Suroriental",13019
"Nicolás de Federman",13020
"Ingemar - Urb. Lipari",13021
"El Castillo",13022
"Arboleda de los Alpes",13023
"S.C. Quiroga Central",13024
"Colon",13025
"Yira Castro",13026
"Bochica Puente Aranda",13027
"El Ejido",13028
"El Portal del Río",13029
"Danubio Centauros",13030
"Chico Oriental",13031
"S.C. Marly",13032
"La Manuelita",13033
"San José del Prado - Villa Gorda",13034
"El Jordán La Esperanza 2",13035
"Islandia III",13036
"El Jardín",13037
"Villa del Río",13038
"Kalamary IV",13039
"El Tirol",13040
"La Posada",13041
"Mirador de Suba y Bellavista",13042
"Urb. El Pórtico y Los Remansos",13043
"Urb. Monticello",13044
"La Concordia (Lote)",13045
"Britalia Las Margaritas",13046
"Urb. Andino",13047
"El Delirio",13048
"Urb. Portales del Norte I",13049
"Santa Bárbara Tibabuyes",13050
"S.C. Mirandela",13051
"Urb. Parques de la Colina",13052
"Barrancas Norte",13053
"Urb. La Arboleda de Chosica",13054
"Chucua III Sector",13055
"San Pedro III",13056
"La Francia",13057
"Las Flores_",13058
"Niza Suba - La Cartuja",13059
"Portón de Guaymaral",13060
"Laredo",13061
"Urb. El Carmelo",13062
"S.C Tuna Alta",13063
"Gilmar II",13064
"Tibabuyes Universal",13065
"S.C. Villa Hermosa",13066
"Managua",13067
"Acacias",13068
"Urb. Riobamba",13069
"Teusa",13070
"Loma Verde (Lote)",13071
"Horizonte Salitre",13072
"Provenza (Parcelación)",13073
"San Pedro de Tibabuyes",13074
"El Llano (Lote)",13075
"Flota La Macarena",13076
"Pió XII (Agrupación de Vivienda)",13077
"Florida Blanca II Sector",13078
"Santa Mónica Etapa 1 y 2",13079
"Urb. San_Luís",13080
"Pardo Rubio - Arbos I",13081
"Santa Rita Sur Oriental",13082
"Bosque de Modelia",13083
"Escuela de Caballería",13084
"Santa Ana Oriental",13085
"S.C. Arborizadora Baja",13086
"S.C. Ingemar Oriental",13087
"S.C. Polo Club",13088
"El Pantano - Maranta",13089
"Lourdes II",13090
"Villas de Alcalá - Los Cerezos",13091
"S.C. Normandia Occidental",13092
"S.C. El Pantano",13093
"Urb. Corpacero",13094
"Villa Gladys Sector La Manzana",13095
"Urb. La Dulzura",13096
"San Antonio_",13097
"Urb. La Floresta Reservada",13098
"Holanda I Sector",13099
"S.C. Conejera",13100
"El Rincón de Iberia",13101
"El  Manzano",13102
"San Vicente",13103
"Carolina II",13104
"Urb. San Rafael Norte I",13105
"Torres de San Francisco",13106
"Urb. Maratu",13107
"El Condado de la Paz",13108
"Villa Liliana el Vergel",13109
"El Vergel Occidental",13110
"El_Triunfo",13111
"Santa Luisa Timiza",13112
"Villa Rica",13113
"Morabia",13114
"Patio Bonito II Sector",13115
"La_Esperanza",13116
"Lafayette",13117
"El Portal de Patio Bonito",13118
"El Llanito",13119
"Urb. Laureles Kennedy",13120
"Andalucía II Sector",13121
"Montana",13122
"Pinar del Río II Sector",13123
"San_Carlos",13124
"Alquería La Fragua Santa Yolanda",13125
"Carimagua I Sector",13126
"Villa Mariana",13127
"El Porvenir II_Sector",13128
"S.C. La Magdalena",13129
"Villa de la Loma",13130
"Las Brisas_",13131
"Ciudad Kennedy Supermanzana 8",13132
"Ciudad Kennedy Norte",13133
"Sinai",13134
"El Paraíso Casablanca",13135
"Bavaria Techo III",13136
"Santa Maria",13137
"Salvador Allende",13138
"Las Delicias_",13139
"Villa de los Sauces",13140
"Prados de Kennedy",13141
"S.C Las Margaritas",13142
"Guadalupe",13143
"Villa Adriana",13144
"Ciudad Kennedy Oriental Supermanzana 2",13145
"Urb. Riberas de Occidente I Etapa",13146
"Kennedy Occidental Supermanzana 14",13147
"S.C. Islandia",13148
"Nueva Marsella III Sector",13149
"Valles de Ipanema",13150
"El Tintalito Frigorifico San Martin De Porees LTDA",13151
"Prados del Tintal",13152
"Quintas de Tierra Buena III",13153
"Tierra Buena II Conjunto Residencial",13154
"Bosque de Gratamira",13155
"Villa Hermosa",13156
"Sierras del Sur Oriente",13157
"La Península",13158
"Manila 2",13159
"Ciudadela El Poblado",13160
"Urb. San_José",13161
"Pardo Rubio - Urb. Panorama",13162
"Urb. Industrial San Pedro",13163
"Veracruz_",13164
"Urb. El Triunfo",13165
"El Chircal",13166
"Los Álamos - San Ignacio",13167
"Álamos Norte Sector Nor-Oriental",13168
"Villas del Madrigal",13169
"Urb. San Blas",13170
"Ramajal",13171
"Amapolas II Sector",13172
"El Regalo II",13173
"La Grovana",13174
"Country Club - Urb. Quira",13175
"La Merced Sur San Ignacio",13176
"Villa Nora III",13177
"La Magnolia II",13178
"S.C. Argelia II",13179
"El Llano de Bosa",13180
"Brasil II Sector",13181
"El Triunfo_",13182
"Las Margaritas_",13183
"La Arboleda I Sector",13184
"Nueva Granada II Sector",13185
"Diamante Sur",13186
"Brasilia III Sector",13187
"Brasilia II Sector",13188
"S.C San Bernardino Potreritos",13189
"Villa Elisa",13190
"Urb. Casa Campo Sector I",13191
"El Refugio y Los Maderos de Suba",13192
"La Toscana",13193
"S.C Parque Distrital El Salitre",13194
"Club de Empleados Oficiales",13195
"Sevilla Portales del Norte",13196
"Santa Fe de Suba (Finca)",13197
"El Toro Tulipán y Tequendama",13198
"Estrella",13199
"Bosques del Salitre",13200
"Ortezal_",13201
"Colseguros",13202
"Ricaurte",13203
"El Minuto de Dios - La Catalina",13204
"Egipto 2",13205
"S.C. Egipto",13206
"Luís López De Mesa",13207
"El Puerto La Loma de San Carlos",13208
"El Socorro",13209
"Villas del Recuerdo",13210
"S.C. Arboleda Sur",13211
"San Bernardino",13212
"Argelia_II",13213
"Santa Rosalía de Guaymaral",13214
"Ciudad Marbella Sector II",13215
"Veraguas Central",13216
"S C. Ferrocaja",13217
"Oviedo",13218
"Urb. San Vicente",13219
"Urb. Valbella",13220
"S.C. Puente Grande",13221
"S.C. Jardín Botánico",13222
"Los_Cerezos",13223
"Puerta de Teja",13224
"Bolivia Sector Occidental",13225
"Altamira Sector San José",13226
"La Paz (El Cebadal)",13227
"Nueva Santa Fe de Bogotá",13228
"Bosque Popular - El Trébol",13229
"Nazaret (Predio)",13230
"S.C. Buenos Aires",13231
"Urb. Los Balkanes",13232
"El Parque Etapa I",13233
"Villa Inés",13234
"Las Carabelas",13235
"Santa Matilde II Sector",13236
"Bello Horizonte",13237
"Macondo II",13238
"Sagrado Corazón",13239
"San Diego",13240
"Los Alcázares Norte",13241
"Urb. Simón Bolívar",13242
"Santa Rosa Sur",13243
"San Antonio (Hacienda)",13244
"Las Vegas El Recuerdo",13245
"Los Alpes del Zipa",13246
"S.C. Los Alpes",13247
"Las_Brisas",13248
"San Joaquín",13249
"La Camelia",13250
"Urb. Alamedas de San Diego",13251
"La Favorita",13252
"Playón La Playita",13253
"Arluz La Manuelita",13254
"Santa Rita III Sector",13255
"Bosques de la Hacienda",13256
"San Miguel Tibabuyes",13257
"El Recuerdo",13258
"Santa_Bárbara",13259
"S.C. San Pedro",13260
"La Esperanza II Sector - Tokio",13261
"Calamari",13262
"El Cuco La Estancia",13263
"Urb. La Fontana",13264
"Bosque de los Urapanes",13265
"San Cayetano Norte",13266
"Garcés Navas",13267
"S.C. Centenario",13268
"Andes Norte - Urb. La Cancioneta",13269
"Niza Suba - Urb. La Arboleda de Suba",13270
"Urb. Altos de San Jorge",13271
"San_Jorge",13272
"El Pénsil",13273
"S.C. Villa Elisa",13274
"S.C. Engativa Zona Urbana",13275
"Los Cerezos",13276
"Bochica - Urb. Alejandría",13277
"Villa Carolina_",13278
"Cerros de los Alpes",13279
"Las Cruces",13280
"Villa de los Alpes",13281
"Antonio Morales Galvis",13282
"S.C. El Gaco",13283
"Urb. Balcones de Provenza",13284